NAME,race,pct_race,population,county_pop
"Jackson County, Arkansas",white,80%,12890,16057
"Jackson County, Arkansas",black,17%,2786,16057
"Jackson County, Arkansas",asian,0%,63,16057
"Jackson County, Arkansas",nativeam,0%,47,16057
"Jackson County, Arkansas",hispanic,3%,461,16057
"Arkansas County, Arkansas",white,71%,11698,16406
"Arkansas County, Arkansas",black,25%,4156,16406
"Arkansas County, Arkansas",asian,1%,94,16406
"Arkansas County, Arkansas",nativeam,0%,44,16406
"Arkansas County, Arkansas",hispanic,4%,636,16406
"Bradley County, Arkansas",white,58%,5890,10105
"Bradley County, Arkansas",black,29%,2937,10105
"Bradley County, Arkansas",asian,0%,30,10105
"Bradley County, Arkansas",nativeam,1%,92,10105
"Bradley County, Arkansas",hispanic,16%,1575,10105
"Cleveland County, Arkansas",white,89%,6466,7282
"Cleveland County, Arkansas",black,9%,686,7282
"Cleveland County, Arkansas",asian,0%,7,7282
"Cleveland County, Arkansas",nativeam,0%,35,7282
"Cleveland County, Arkansas",hispanic,2%,182,7282
"Nevada County, Arkansas",white,66%,5218,7927
"Nevada County, Arkansas",black,31%,2444,7927
"Nevada County, Arkansas",asian,1%,45,7927
"Nevada County, Arkansas",nativeam,1%,45,7927
"Nevada County, Arkansas",hispanic,4%,354,7927
"Dallas County, Arkansas",white,56%,3487,6206
"Dallas County, Arkansas",black,42%,2592,6206
"Dallas County, Arkansas",asian,0%,7,6206
"Dallas County, Arkansas",nativeam,0%,17,6206
"Dallas County, Arkansas",hispanic,3%,201,6206
"Calhoun County, Arkansas",white,78%,3539,4531
"Calhoun County, Arkansas",black,20%,913,4531
"Calhoun County, Arkansas",asian,0%,6,4531
"Calhoun County, Arkansas",nativeam,0%,10,4531
"Calhoun County, Arkansas",hispanic,3%,127,4531
"Little River County, Arkansas",white,77%,8714,11265
"Little River County, Arkansas",black,19%,2178,11265
"Little River County, Arkansas",asian,0%,23,11265
"Little River County, Arkansas",nativeam,2%,170,11265
"Little River County, Arkansas",hispanic,4%,409,11265
"Conway County, Arkansas",white,85%,16367,19274
"Conway County, Arkansas",black,11%,2209,19274
"Conway County, Arkansas",asian,0%,90,19274
"Conway County, Arkansas",nativeam,1%,167,19274
