precinct,n
001-001,909
001-002,963
001-003,547
002-001,614
002-002,341
002-003,969
002-004,761
002-005,1439
002-006,748
002-007,1107
002-008,903
002-010,1304
002-011,729
002-013,992
002-014,560
002-015,1523
002-016,378
002-018,396
003-001,1233
003-002,1105
004-001,230
005-001,767
005-002,94
006-001,526
007-001,1097
007-002,1106
007-003,830
007-004,788
007-007,265
008-001,551
009-001,897
009-002,1407
009-003,603
009-004,1047
009-005,474
009-006,1283
009-007,1500
010-001,209
010-002,224
011-001,643
012-001,988
013-001,1271
013-003,129
014-001,1263
015-001,203
015-002,1419
015-003,9
016-001,942
017-001,404
018-001,744
018-002,1264
019-001,343
020-001,673
021-001,785
021-002,559
021-003,1533
021-009,43
022-001,405
023-001,459
023-002,10
023-005,799
024-001,843
024-002,531
025-001,902
026-001,1059
026-002,792
